OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;lamposumma_v;rainfall_v
Vihti;355641;6700134;Vihti;226;19610306;1961;3;6;3355000;6705000;4.4;9.2;-0.2;0.0;6704;6.02;0.00;63.0
Vihti;355641;6700134;Vihti;226;19610307;1961;3;7;3355000;6705000;2.7;5.3;-0.5;0.0;4344;4.76;0.00;63.0
Vihti;355641;6700134;Vihti;226;19610308;1961;3;8;3355000;6705000;-1.4;1.4;-6.1;1.0;7158;4.19;0.00;64.0
Vihti;355641;6700134;Vihti;226;19610309;1961;3;9;3355000;6705000;4.0;8.0;-0.4;0.0;6091;6.47;0.00;64.0
Vihti;355641;6700134;Vihti;226;19610310;1961;3;10;3355000;6705000;5.3;11.8;0.6;0.0;6006;7.11;0.30;64.0
Vihti;355641;6700134;Vihti;226;19610311;1961;3;11;3355000;6705000;3.9;6.1;0.8;0.0;4067;5.49;0.30;64.0
Vihti;355641;6700134;Vihti;226;19610312;1961;3;12;3355000;6705000;2.8;7.0;-0.6;6.0;7546;5.60;0.30;70.0
Vihti;355641;6700134;Vihti;226;19610313;1961;3;13;3355000;6705000;0.4;1.6;-1.9;0.0;6088;4.93;0.30;70.0
Vihti;355641;6700134;Vihti;226;19610314;1961;3;14;3355000;6705000;-1.6;2.7;-7.0;3.0;6411;3.63;0.30;73.0
Vihti;355641;6700134;Vihti;226;19610315;1961;3;15;3355000;6705000;0.2;1.6;-1.5;0.0;4230;4.49;0.30;73.0
Vihti;355641;6700134;Vihti;226;19610316;1961;3;16;3355000;6705000;-1.9;2.1;-4.8;0.0;4505;3.84;0.30;73.0
Vihti;355641;6700134;Vihti;226;19610317;1961;3;17;3355000;6705000;-0.5;0.7;-2.6;0.0;3907;5.37;0.30;73.0
Vihti;355641;6700134;Vihti;226;19610318;1961;3;18;3355000;6705000;-0.8;2.7;-4.8;8.0;3154;5.69;0.30;81.0
Vihti;355641;6700134;Vihti;226;19610319;1961;3;19;3355000;6705000;-4.9;-2.9;-6.6;0.0;8206;2.69;0.30;81.0
Vihti;355641;6700134;Vihti;226;19610320;1961;3;20;3355000;6705000;-4.7;0.5;-11.1;0.0;9750;3.36;0.30;81.0
